Number; Misorientation x; Relative Distance x; Misorientation y; Relative Distance y
1; ; ; ;
; 0.709967; 85.44; 0.805515; 10.0
; 0.766172; 141.055; 0.87133; 105.326
; 0.820438; 482.8; 0.758988; 446.724
; 1.00249; 81.464; 0.743358; 115.298
; 0.813732; 115.221; 0.859573; 81.665
; 0.831807; 29.808; 0.738075; 16.809
; 0.809876; 15.895; ; 
; 0.770248; 19.862; ; 
; 0.753295; 29.805; ; 
; 0.909137; 55.63; ; 
; 0.76974; 19.87; ; 
; 0.913003; 282.12; ; 
; 0.709967; 518.56; ; 
2; ; ; ;
; 0.861392; 619.919; 3.36464; 338.083
; 0.954086; 45.739; 0.883374; 190.784
; 1.1737; 43.073; 1.07629; 17.302
3; ; ; ;
; 0.856837; 105.357; 0.889555; 9.99999
; 1.07155; 330.418; 1.30206; 42.91511
; 1.01182; 425.793; 1.0021; 17.0849
; 0.846729; 415.812; 1.43286; 140.0
; 0.725237; 125.3; 0.976386; 17.156
; 0.758472; 19.96; 1.26021; 26.418
; 0.853175; 85.37; 1.0468; 17.166
; 2.30953; 145.26; 0.886911; 17.184
; 0.826142; 75.4; 0.958588; 18.507
; 0.76974; 9.98; 1.22429; 87.142
; ; ; 0.760018; 17.158
; ; ; 0.737544; 17.171
; ; ; 0.969548; 79.247
; ; ; 0.847191; 17.16
; ; ; 0.855923; 26.418
; ; ; 0.723617; 157.157
; ; ; 0.864567; 174.329
; ; ; 0.87581; 62.086
; ; ; 0.864114; 17.158
; ; ; 1.22621; 26.42
; ; ; 0.942115; 331.483
; ; ; 1.06017; 18.51
; ; ; 0.915571; 191.48
; ; ; 0.911287; 376.4
; ; ; 0.99858; 60.74
; ; ; 1.27349; 183.58
4; ; ; ;
; 0.769231; 50.0; 0.760018; 147.309
; 0.732753; 30.0; 0.717643; 34.625
; 0.828035; 100.0; 0.948326; 17.315
; 0.846729; 30.0; 0.835094; 34.631
; 0.782347; 40.0; 0.705544; 60.569
; 1.03401; 15.141; ; 
; 1.14398; 9.995; ; 
; 0.995047; 54.864; ; 
; 0.882931; 10.0; ; 
; 0.934608; 65.093; ; 
; 0.858662; 149.975; ; 
5; ; ; ;
; 1.15691; 20.0; 1.09361; 10.0
; ; ; 0.865019; 1789.36
6; ; ; ;
; 0.844878; 215.174; 1.94219; 40.0
; 0.740721; 19.986; 0.716552; 110.997
; 2.0349; 45.375; 4.45729; 45.726
; 1.20528; 9.982; 0.711069; 160.908
; 0.711069; 195.178; 0.855923; 170.857
; 1.57147; 59.924; 0.798194; 166.926
; 0.814213; 69.93; 1.12813; 39.705
; 0.832748; 29.974; 1.82306; 45.714
; 0.729005; 9.992; 2.85499; 29.784
; 0.81277; 355.825; 0.770248; 55.639
; 0.730614; 29.96; 0.836499; 19.859
; 0.822344; 59.93; 0.81277; 45.711
; 0.940452; 205.18; 1.06128; 29.787
; 0.797213; 75.33; 0.875363; 45.707
; ; ; 0.757439; 85.43
; ; ; 0.9367; 25.87
; ; ; 1.39353; 502.61
; ; ; 0.904822; 423.2
; ; ; 0.80794; 367.56
; ; ; 1.02717; 262.28
7; ; ; ;
; 0.855923; 101.489; 0.757956; 1112.16
; 0.739664; 55.673; 0.74441; 87.13
; 0.814694; 65.549; 0.753814; 34.53
; 0.72145; 105.161; 0.798194; 52.61
; 0.718188; 91.532; 0.82377; 112.61
; 0.829923; 222.702; 1.50818; 43.56
; 0.799174; 252.377; ; 
; 0.834156; 196.707; ; 

; 0.9077395666666669; 122.88181666666667; 1.0689616911764706; 142.39323529411766
