Number, Misorientation x, Relative Distance x, Misorientation y, Relative Distance y
1, , , ,
, 0.713816, 200.0, 2.05462, 17.3205
, 0.739134, 220.0, 1.08894, 34.641
, 0.707759, 30.0, 0.813732, 69.2825
, , , 0.907413, 103.923
, , , 0.794754, 762.102
, , , 0.705544, 138.561
2, , , ,
, 0.715458, 120.0, 1.43313, 10.0
, 0.749127, 40.0, 1.02259, 145.885
, 0.97438, 20.0, 1.22876, 207.846
, 1.71897, 55.16, 0.998188, 17.32
, 2.31258, 9.993, 1.85941, 95.289
, 1.42051, 109.953, 2.41233, 77.916
, 0.757956, 29.991, 1.04193, 34.641
, 0.74651, 19.996, 0.945019, 60.641
, 0.751734, 159.973, 0.844415, 147.205
, 1.0561, 49.995, 1.08318, 86.603
, 3.49682, 45.166, 0.737013, 242.484
, 0.707759, 209.945, 0.786836, 25.99
, 0.922809, 49.991, 1.14227, 25.97
, 0.849037, 19.997, 1.22717, 17.33
, 0.726855, 109.98, 2.6905, 190.56
, 0.821391, 115.15, 2.54022, 17.32
, 1.31105, 199.96, 2.69733, 17.32
, 1.09217, 19.99, 1.4666, 34.64
, 0.837434, 69.99, 1.60645, 17.32
, 0.799174, 135.15, 1.13952, 17.32
, 1.68609, 139.97, 0.886911, 155.88
, 1.46714, 49.99, 0.912574, 69.28
, 1.04117, 175.14, 1.24238, 138.56
, 1.09396, 10.0, 3.49301, 17.32
, 0.729542, 9.99, 1.02755, 112.56
, 0.733821, 10.0, 1.71418, 17.33
, 1.18927, 209.96, 1.87889, 155.88
, 0.753814, 139.97, 0.720365, 17.32
, 0.835094, 89.99, 0.751734, 26.0
, 0.818049, 25.16, 0.712169, 34.64
, 0.903956, 99.98, 2.36049, 34.64
, 2.30834, 29.99, 0.727393, 216.49
, 1.94561, 30.0, , 
3, , , ,
, 0.832748, 36.0555, 0.80794, 34.641
, 5.98196, 29.5189, 1.07192, 69.762
, 1.31997, 75.4926, 1.18564, 17.252
, 0.97237, 19.868, 0.731684, 17.269
, 0.924504, 19.896, 2.25533, 60.826
, 0.949975, 55.601, 1.33764, 129.947
, 0.79623, 49.75, 1.26021, 17.29
, 0.790805, 186.682, 1.25148, 17.293
, , , 0.794262, 43.519
, , , 3.58419, 17.289
, , , 3.19427, 165.166
4, , , ,
, 0.777329, 115.326, 0.740193, 85.4401
, 0.832277, 69.877, 0.842094, 29.8859
, 0.751214, 35.93, 1.23638, 39.916
, 0.839301, 26.455, 1.47087, 29.961
, , , 0.730614, 69.944
, , , 0.917706, 9.995
5, , , ,
, 1.3429, 10.0, 0.709967, 367.559
, 0.807456, 78.8819, 0.829923, 131.139
, 0.706098, 19.2851, 0.792288, 39.726
, 0.844415, 108.166, 0.855923, 55.63
, 1.1757, 262.102, 0.764639, 19.868
, 0.861846, 43.005, 0.726855, 25.844
, 1.20366, 45.746, 0.778838, 19.855
, 0.757439, 62.417, 0.823295, 55.641
, 0.855923, 648.987, 0.82377, 19.857
, , , 1.10924, 19.865
, , , 0.917706, 25.849
, , , 0.716005, 39.716
, , , 1.19518, 55.636
, , , 0.969952, 39.73
, , , 0.800642, 160.935
, , , 0.812288, 35.76
, , , 1.14466, 85.43
, , , 0.770248, 19.87
, , , 0.794754, 9.93
, , , 0.708312, 65.57
, , , 1.37601, 216.56
, , , 0.738605, 311.92
, , , 0.702765, 55.64
, , , 1.01568, 55.63
6, , , ,
, 0.764127, 112.694, 0.853634, 206.64
, 0.706652, 313.099, 0.726316, 101.256
, , , 0.732219, 26.32
, , , 0.738075, 173.426
, , , 0.819005, 884.728
, , , 0.747558, 45.79
7, , , ,
, 1.56273, 135.277, 0.792288, 134.536
, 0.793276, 119.87, 1.12744, 79.24
, 0.935864, 115.258, 0.719821, 19.248
, 0.779842, 29.97, , 
, 0.741777, 29.974, , 
8, , , ,
, 0.879823, 98.4886, 2.5028, 233.88
, 1.4075, 120.8284, 0.937952, 51.952
, 0.718733, 16.479, 1.08354, 34.636
, 0.752775, 72.1, 0.952033, 60.714
, , , 0.99858, 121.212
, , , 0.783846, 26.094
, , , 0.948739, 77.812
, , , 0.74651, 43.392
9, , , ,
, 0.719821, 10.0, 1.317, 60.8277
, 2.67445, 180.0, 0.995833, 207.6863
, 2.48049, 65.147, 0.775312, 121.229
, 0.780845, 24.853, 1.57446, 17.32
, 0.832748, 195.079, 0.993866, 121.236
, , , 5.80137, 43.278
, , , 0.754333, 86.602
, , , 0.94626, 303.122
, , , 5.44316, 129.939
, , , 0.885144, 25.94
, , , 1.86404, 17.32
, , , 0.850418, 121.25
, , , 0.709967, 26.01
, , , 0.747034, 51.96
, , , 0.923657, 17.32
, , , 0.893505, 121.24
, , , 4.74929, 277.12
, , , 0.716552, 17.32
, , , 0.710518, 112.62
, , , 0.901355, 77.9
, , , 0.876703, 17.32
, , , 3.12424, 17.32
, , , 0.782347, 34.64
, , , 0.80113, 51.97
, , , 0.997796, 17.32
, , , 0.794262, 43.33
, , , 0.812288, 43.27
, , , 1.12501, 51.96
, , , 1.12222, 60.65
, , , 0.820438, 17.32
, , , 1.44915, 25.95
, , , 1.50454, 17.32
10, , , ,
, 0.708864, 65.5744, 0.877596, 26.4575
, 1.00015, 85.4226, 0.802107, 96.4245
, 0.794262, 14.23, 0.768722, 105.81
, 0.75537, 45.486, 0.732753, 17.072
, , , 0.817092, 69.989
, , , 0.79031, 35.815
, , , 0.743358, 43.527
, , , 0.908275, 26.45
, , , 1.02565, 34.196
, , , 0.806, 122.878
, , , 0.961034, 18.709
, , , 1.22589, 43.531
, , , 0.739664, 17.092
11, , , ,
, 6.0798, 163.707, 1.10889, 103.923
, 1.6707, 219.307, 0.745986, 69.571
, 0.848576, 29.418, 1.00327, 17.294
, 0.971564, 72.026, 0.899616, 17.299
, 2.90313, 16.441, 0.740193, 103.843
, 0.751214, 19.582, 2.58407, 113.158
, 1.09217, 137.47, 0.80794, 17.292
, 0.985562, 26.227, 0.89613, 51.887
, 1.26579, 65.422, 3.56886, 25.733
, 3.45196, 147.283, 0.737544, 26.168
, 0.70165, 16.408, 1.19058, 17.303
, 1.01837, 101.449, 0.820915, 51.915
, 3.27393, 26.22, 0.883817, 60.78
, 0.756405, 19.61, 0.739664, 34.608
, 0.761047, 26.21, , 
, 1.17902, 45.83, , 
, 1.38959, 19.61, , 
, 0.779842, 9.8, , 
, 0.703878, 36.02, , 
, 0.733287, 36.02, , 
, 0.719277, 16.42, , 
, 0.783347, 39.21, , 
, 0.703878, 42.64, , 
, 0.750692, 9.8, , 
, 2.66726, 65.42, , 
, 1.05721, 36.02, , 
12, , , ,
, 0.724698, 177.764, 0.786339, 111.355
, 1.00327, 52.887, 1.2915, 19.794
, 5.02321, 264.526, 1.06459, 35.884
, 1.10394, 16.975, 2.18821, 115.102
, 0.714364, 151.248, 0.707206, 16.026
, 0.702765, 60.409, 0.711069, 19.801
, 0.94626, 18.956, 0.819483, 25.986
, 0.743884, 283.535, 0.81277, 65.564
, 3.16508, 33.94, 0.792782, 75.462
, 0.775312, 26.45, 1.21144, 65.571
, 0.719821, 45.43, 0.813732, 95.288
, 1.96523, 33.94, 0.88647, 16.058
, 0.721992, 26.46, 0.883817, 19.798
, 0.865019, 26.46, , 
, 0.829451, 18.96, , 
, 0.716005, 33.95, , 
, 0.827089, 115.3, , 
, 1.35566, 79.37, , 
13, , , ,
, 0.760018, 30.0, 0.805029, 346.555
, 0.709416, 150.0, 0.864114, 268.506
, 0.788823, 390.0, 0.752775, 86.865
, 0.782347, 110.0, 0.748604, 121.178
, 1.09896, 20.0, 0.923657, 303.436
, 0.732219, 20.0, 0.712718, 17.31
