Number; Misorientation x; Relative Distance x; Misorientation y; Relative Distance y
1; ; ; ;
; 2.03759; 30.0; 0.829923; 43.589
; 1.58511; 160.0; 1.05499; 112.296
; 1.04005; 20.0; 2.06621; 17.32
; 0.773796; 50.0; 0.758988; 51.962
; 0.884702; 90.0; 4.07986; 17.32
; 0.874469; 40.0; 0.887352; 597.573
; 0.896566; 270.0; 0.785841; 51.96
; 0.762589; 10.0; ; 
; 0.730614; 15.055; ; 
; 0.821391; 24.945; ; 
; 0.709967; 110.0; ; 
; 2.81063; 245.04; ; 
; 0.731149; 89.99; ; 
2; ; ; ;
; 0.734354; 40.0; 1.07192; 70.0
; 0.9367; 60.0; 0.704434; 88.745
; 0.838368; 65.227; 1.41803; 96.402
; 1.7242; 69.933; 0.764127; 24.853
; ; ; 0.825668; 26.431
; ; ; 0.890873; 26.435
; ; ; 0.707206; 105.768
; ; ; 0.761047; 35.813
; ; ; 0.739134; 60.623
3; ; ; ;
; 0.971161; 60.0; 0.956953; 355.106
; 0.793276; 90.0; 0.838835; 86.595
; 0.826142; 50.0; 0.986753; 181.837
; 0.879378; 40.0; 0.776321; 129.921
; 0.765662; 165.093; ; 
; 0.93962; 14.907; ; 
; 0.89613; 145.066; ; 
; 0.716552; 409.972; ; 
; 0.825194; 20.0; ; 
; 0.899616; 20.002; ; 
; 0.873125; 20.0; ; 
; 0.828035; 20.0; ; 
; 0.745461; 315.07; ; 
; 0.800153; 10.0; ; 
; 0.859573; 10.0; ; 
; 0.977187; 199.98; ; 
4; ; ; ;
; 0.909137; 240.0; 0.885586; 34.641
; ; ; 0.806486; 34.641
; ; ; 0.950387; 43.412
; ; ; 1.21756; 17.306
; ; ; 0.715458; 181.769
; ; ; 0.855923; 17.321
; ; ; 1.11276; 17.32
; ; ; 0.737013; 112.611
; ; ; 1.07119; 718.819
; ; ; 0.93962; 17.32
; ; ; 0.74651; 112.62
; ; ; 0.870431; 17.32
5; ; ; ;
; 0.818527; 10.0; 1.22493; 87.178
; 1.00911; 410.0; 0.706098; 660.886
; 0.761562; 270.0; 0.735419; 69.921
; 0.748604; 30.0; 0.884702; 226.045
; 0.848114; 135.044; 0.745461; 34.49
; 0.901355; 69.997; 0.747034; 121.65
; 0.797213; 19.999; 0.918558; 17.25
6; ; ; ;
; 1.52777; 20.0; 0.782847; 17.3205
; ; ; 1.22685; 355.1045
7; ; ; ;
; 1.55821; 50.0; 1.4125; 17.3206
; 0.718733; 70.0; 0.720908; 17.3204
; 1.07847; 30.0; 0.92957; 17.3205
; ; ; 1.06054; 129.9725
; ; ; 0.708864; 121.546
; ; ; 0.735951; 17.3
8; ; ; ;
; 0.810841; 20.0; 0.908275; 43.589
; 0.850418; 100.0; 0.79623; 34.5135
; 0.737013; 15.277; 0.770756; 78.1025
; 0.891752; 9.981; 0.713816; 17.289
; 0.774807; 14.742; 0.897875; 51.895
; 1.10571; 95.147; 0.754851; 173.484
; 0.903956; 69.968; 0.832277; 17.3
; 0.783347; 75.26; 0.98992; 147.831
; 0.817571; 29.974; 0.738605; 25.657
; 0.747558; 29.977; 0.973174; 17.299
; 0.956953; 19.986; 0.769231; 60.798
; 0.853634; 29.982; 0.702208; 87.027
; 0.708864; 700.206; 0.957771; 42.962
; 0.725237; 125.2; 0.952444; 78.095
; 1.1896; 19.99; 0.829923; 35.146
; 0.917706; 19.99; 0.873125; 25.655
; ; ; 0.817571; 17.296
; ; ; 0.859573; 69.731
; ; ; 0.709967; 51.88
; ; ; 0.757956; 17.29
; ; ; 0.876703; 17.3
; ; ; 0.704434; 17.29
; ; ; 0.995047; 78.1
; ; ; 0.717097; 104.32
; ; ; 0.788823; 60.81
; ; ; 0.837434; 34.58
; ; ; 1.13263; 17.29
; ; ; 1.07338; 17.3
; ; ; 0.848576; 147.27
; ; ; 1.41111; 26.22
; ; ; 0.748604; 26.22
; ; ; 1.19518; 25.66
9; ; ; ;
; 0.872677; 20.0; 1.00366; 26.4575
; 0.86818; 50.0; 0.882931; 25.5039
; 0.767703; 10.0; 1.98682; 181.9186
; 0.904389; 240.468; 1.57991; 86.588
; 0.906982; 19.973; 1.83632; 17.319
; 1.27503; 59.934; 0.844878; 77.905
; 0.711069; 165.222; 0.993078; 77.968
; 0.978788; 270.525; 0.739134; 225.158
; 0.860938; 155.241; 0.775312; 225.163
; 1.0287; 55.397; 1.07411; 121.239
; 2.21488; 145.26; 0.874021; 43.29
; 1.26269; 9.98; ; 
10; ; ; ;
; 0.889994; 190.0; 1.23986; 26.4575
; 2.80421; 125.119; 0.901355; 17.1315
; 3.19243; 49.984; 1.20106; 34.5135
; 0.805515; 49.987; 0.99229; 60.4615
; 1.68656; 39.992; 0.702208; 138.564
